275	183
224	224
300	168
300	168
308	163
183	275
225	225
287	175
300	168
275	183
241	209
275	183
225	225
168	299
183	275
300	168
275	183
299	168
275	183
197	256
259	194
311	162
347	145
332	152
225	224
219	230
218	231
318	159
299	168
291	173
294	171
289	174
300	168
259	194
300	168
274	184
225	225
300	168
300	168
259	194
300	168
225	225
300	168
291	173
300	168
312	162
256	197
337	149
273	185
266	190
183	275
194	259
300	168
225	225
300	168
305	165
312	162
278	182
184	274
318	159
300	168
263	191
286	176
303	166
225	225
287	176
300	168
300	168
284	177
183	275
279	181
225	225
301	167
225	224
311	162
318	159
299	168
300	168
225	225
291	173
348	145
258	196
300	168
276	183
424	119
225	225
300	168
300	168
203	249
300	168
276	183
300	168
299	168
225	225
285	177
340	148
294	171
259	194
299	169
311	162
300	168
300	168
300	168
319	158
184	273
275	183
290	174
275	183
344	147
225	225
194	259
225	225
299	168
268	188
305	165
300	168
300	168
280	180
212	238
280	180
300	168
292	173
225	225
155	325
225	225
